City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Ust-Koksa,RU,50.2696,85.6108,3.54,90,64,0.94,broken clouds
81,Yulara,AU,-25.2406,130.9889,75.11,76,100,3.24,overcast clouds
82,Pevek,RU,69.7008,170.3133,-2.96,93,100,3.06,overcast clouds
83,Longyearbyen,SJ,78.2186,15.6401,22.84,74,40,18.41,scattered clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,0,8.05,clear sky
85,Leningradskiy,RU,69.3833,178.4167,1.49,95,100,11.83,overcast clouds
86,Besikduzu,TR,41.052,39.2284,53.49,67,100,5.44,overcast clouds
87,El Silencio,VE,10.5,-66.9167,77.83,46,20,6.91,few clouds
88,Vagur,FO,61.4732,-6.8119,44.33,81,100,31.81,overcast clouds
89,Avarua,CK,-21.2078,-159.775,78.85,83,40,10.36,scattered clouds
90,Souillac,MU,-20.5167,57.5167,79.18,89,75,3.44,broken clouds
91,Flinders,AU,-34.5833,150.8552,75.38,91,98,5.99,overcast clouds
92,Pangnirtung,CA,66.1451,-65.7125,-31.0,61,20,2.3,few clouds
93,Grindavik,IS,63.8424,-22.4338,41.47,81,75,21.85,broken clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,82.36,91,51,5.99,broken clouds
95,Nancha,CN,47.1333,129.2667,-19.28,98,20,2.04,few clouds
96,Carutapera,BR,-1.195,-46.02,83.25,66,100,5.84,overcast clouds
97,Coahuayana,MX,18.7333,-103.6833,88.65,21,4,3.02,clear sky
98,Turukhansk,RU,65.8167,87.9833,9.1,95,100,8.72,light snow
99,Tiksi,RU,71.6872,128.8694,-26.27,99,100,3.62,overcast clouds
100,Rondonopolis,BR,-16.4708,-54.6356,80.2,80,87,6.49,overcast clouds
101,Iquitos,PE,-3.7481,-73.2472,86.04,79,75,5.75,broken clouds
102,Provideniya,RU,64.3833,-173.3,15.15,96,100,2.59,overcast clouds
103,Sao Filipe,CV,14.8961,-24.4956,75.16,69,36,10.87,scattered clouds
104,Saskylakh,RU,71.9167,114.0833,-42.41,100,98,3.04,overcast clouds
105,Lima,PE,-12.0432,-77.0282,75.45,69,0,8.05,clear sky
106,Cacu,BR,-18.5567,-51.1308,81.93,63,83,9.95,broken clouds
107,Baruun-Urt,MN,46.6806,113.2792,4.44,85,25,9.44,scattered clouds
108,Gabu,GW,12.2833,-14.2167,100.62,9,91,8.46,overcast clouds
109,Mar Del Plata,AR,-38.0023,-57.5575,81.82,80,20,13.8,few clouds
110,Chuy,UY,-33.6971,-53.4616,79.02,67,98,4.97,overcast clouds
111,Lagoa,PT,39.05,-27.9833,57.25,78,70,13.24,broken clouds
112,Haines Junction,CA,60.7522,-137.5108,-0.47,100,97,0.85,overcast clouds
113,Taoudenni,ML,22.6783,-3.9836,69.17,17,39,3.33,scattered clouds
114,Butaritari,KI,3.0707,172.7902,80.92,78,13,25.7,few clouds
115,Kahului,US,20.8947,-156.47,70.84,96,100,6.91,heavy intensity rain
116,Goma,CD,-1.6792,29.2228,68.27,70,52,2.89,broken clouds
117,Cabrero,CL,-37.0333,-72.4,76.95,12,0,10.78,clear sky
118,Nikolskoye,RU,59.7035,30.7861,22.91,87,97,11.45,overcast clouds
119,Bethel,US,41.3712,-73.414,49.19,52,22,11.01,few clouds
120,Skjervoy,NO,70.0311,20.9714,33.8,67,99,23.35,light snow
121,Hilo,US,19.7297,-155.09,70.29,86,40,5.99,moderate rain
